Comment,Description,Designator,Footprint,LibRef,Quantity

"22p","1206 22pF Ceramic Multilayer Capacitor; 50VDC; 125degC; C0G Dielec; +/-5% SMD","C1, C2","FP-C1206C-EB-MFG","CMP-1037-00978-2","2"
"2.2u","","C3, C4, C14","CAPC2013X145X50ML20T25","CMP-1036-04819-2","3"
"100n","CAP CER 0.1UF 10V X5R 0402, CAP CER 0.1UF 16V X7R 0402","C5, C6, C7, C8, C9, C10, C11, C15, C16, C17, C18, C19, C20, C21","FP-C0402-BB-MFG","CMP-2008-02046-2, CMP-2008-02108-2","14"
"10u","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V","C12, C13","FP-GRM188-0_1-e0_2_0_55-IPC_A","CMP-2006-02792-2","2"
"1u","","C22, C23","CAPC2013X135X45LL10T25","CMP-1036-04761-2","2"
"10n","","C24","CAPC2013X88X50LL20T25","CMP-2007-00266-1","1"
"0.1u","CAP CER 0.1UF 16V X7R 0402","C25","FP-C0402-BB-MFG","CMP-2008-02108-2","1"
"12p","CAP CER 12PF 50V C0G/NP0 0402","C26, C27","FP-C0402-BB-MFG","CMP-1034-00770-4","2"
"150060GS84000","WL-SMCW SMT Mono-color Chip LED Waterclear","D1","WL-SMCW_0603_150060xx8x000","CMP-03913-108242102-2","1"
"ESD9X3.3ST5G","Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-923, Pb-Free, Tape and Reel","D2, D3, D4","ONSC-SOD-923-2-514AA-01_V","CMP-1063-00106-1","3"
"1206L050YR","PTC RESET FUSE 6V 500MA 1206","F1","FP-1206L050YR-MFG","CMP-08606-000073-1","1"
"BLM21AG601SN1J","Chip Ferrite Bead, 0805, 600Ÿ @ 100MHz, 0.2Ÿ, 25%, 700mA","FB1","FP-BLM21-0_2-t0_85-e0_5-IPC_A","CMP-0686-00643-3","1"
"DX07S024JJ2R1300","CONN RCP USB3.1 TYPEC 24P SMD RA","J1","FP-DX07S024JJ2R1300-MFG","CMP-19038-000004-1","1"
"533980571","CONN HEADER SMD 5POS 1.25MM","J2, J3","FP-533980571-MFG","CMP-2000-05250-2","2"
"2.2u","Multilayer Type Inductor for Power Lines, 1008 (2520), 2.2ÏH, 20%, 0.1Ÿ, 1.3A","L1","FP-LQM2HPN_G0-IPC_C","CMP-1662-00028-2","1"
"ESP32-WROOM-32E(M113EH3200PH3Q0)","RX TXRX MOD WIFI TRACE ANT SMD","MD1","FP-ESP32-WROOM-32E_M113EH-MFG","CMP-194065-000012-1","1"
"2.2k","Thick Film Resistor, 2.2 KOhm, 100 mW, 50 V, +/- 1%, -55 to 155 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","R1, R2, R3, R4, R5, R6","RESC1608X55X25LL10T15","CMP-2000-06934-1","6"
"10k","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R7","RESC2013X60X35NL10T20","CMP-1659-00013-4","1"
"10k","Resistor, 10 KOhm, +/- 5%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R8, R9, R10, R11, R12, R13","RESC1608X55X25ML10T15","CMP-2000-05022-1","6"
"5.1k","RES Thick Film, 5.1kŸ, 1%, 0.1W, 100ppm/∞C, 0603","R14","FP-CRCW0603-e3-IPC_C","CMP-1012-00590-3","1"
"5M","RES 0.005 OHM 1% 1W 0805","R15","FP-WSLP0805-MFG","CMP-02407-013125-1","1"
"FSM2JART","SWITCH TACTILE SPST-NO 0.05A 12V","SW1, SW2","FP-FSM2JART-MFG","CMP-03407-000009-1","2"
"JS102000SAQN","SWITCH SLIDE SPDT 1MA 5V","SW3, SW4","FP-JS102000SAQN-MFG","CMP-10038-000025-1","2"
"STM32F446RCT6","ARM Cortex-M4 32-bit MCU+FPU, 256 KB Flash, 128 KB Internal RAM, 50 I/Os, 64-Pin LQFP, -40 to 85 degC, Tray","U1","STM-LQFP64_L","CMP-0243-00216-1","1"
"TPS62740DSSR","Step Down Converter For Low Power Applications, 2.2 to 5.5 V VIN, -40 to 85 degC, 12-Pin WSON (DSS), RoHS, Tape and Reel","U2","DSS0012A_V","CMP-0323-00572-2","1"
"TPD2E001DRSR","TVS DIODE 5.5V 6SON","U3","FP-DRS0006A-MFG","CMP-0326-00040-4","1"
"ATECC608B-MAHDA-S","IC AUTHENTICATION CHIP","U5","FP-C04-21355-Q4B-IPC_B","CMP-06260-000008-1","1"
"FM24W256-G","IC FRAM 256K I2C 1MHZ 8SOIC","U6","FP-51-85066-MFG","CMP-12945-000008-1","1"
"SST26VF016BT-104I/SM","SST26VF016BT-104I/SM Flash Memory, SQI Flash Memory, 16Mb 1.8V","U7","FP-C04-056-MFG","CMP-00252-49237277-1","1"
"MCP9808-E/MS","+ / - 0.5 degC Maximum Accuracy Digital Temperature Sensor, 400 uA, 2.7 to 5.5 V, -40 to 125 degC, 8-pin MSOP (MS8), Tube","U8","MCHP-MSOP-MS8_L","CMP-0192-00344-1","1"
"ABM7-16.000MHZ-D2Y-T","Crystal 16MHz ±20ppm 18pF SMD-2 6mm x 3.5mm","Y1, Y2","FP-ABM7-MFG","CMP-27762-000095-1","2"
