"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"MD1","ESP32-WROOM-32E(M113EH3200PH3Q0)","TopLayer","FP-ESP32-WROOM-32E_M113EH-MFG","127.2450","75.0315","270","RX TXRX MOD WIFI TRACE ANT SMD"
"SW4","JS102000SAQN","TopLayer","FP-JS102000SAQN-MFG","83.5500","46.8650","0","SWITCH SLIDE SPDT 1MA 5V"
"SW3","JS102000SAQN","TopLayer","FP-JS102000SAQN-MFG","110.1250","102.7100","180","SWITCH SLIDE SPDT 1MA 5V"
"Y2","ABM7-16.000MHZ-D2Y-T","TopLayer","FP-ABM7-MFG","118.6250","89.7750","270","Crystal 16MHz ±20ppm 18pF SMD-2 6mm x 3.5mm"
"Y1","ABM7-16.000MHZ-D2Y-T","TopLayer","FP-ABM7-MFG","104.6250","59.5000","0","Crystal 16MHz ±20ppm 18pF SMD-2 6mm x 3.5mm"
"U8","MCP9808-E/MS","TopLayer","MCHP-MSOP-MS8_L","86.9500","101.3000","90","+ / - 0.5 degC Maximum Accuracy Digital Temperature Sensor, 400 uA, 2.7 to 5.5 V, -40 to 125 degC, 8-pin MSOP (MS8), Tube"
"U7","SST26VF016BT-104I/SM","TopLayer","FP-C04-056-MFG","75.7849","66.9000","225","SST26VF016BT-104I/SM Flash Memory, SQI Flash Memory, 16Mb 1.8V"
"U6","FM24W256-G","TopLayer","FP-51-85066-MFG","96.7750","97.5000","90","IC FRAM 256K I2C 1MHZ 8SOIC"
"U5","ATECC608B-MAHDA-S","TopLayer","FP-C04-21355-Q4B-IPC_B","80.7250","58.3750","45","IC AUTHENTICATION CHIP"
"U3","TPD2E001DRSR","TopLayer","FP-DRS0006A-MFG","83.5500","80.8000","45","TVS DIODE 5.5V 6SON"
"U2","TPS62740DSSR","TopLayer","DSS0012A_V","73.2500","85.4250","90","Step Down Converter For Low Power Applications, 2.2 to 5.5 V VIN, -40 to 85 degC, 12-Pin WSON (DSS), RoHS, Tape and Reel"
